epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9641934633255005,0.11426711827516556,1e-05,0.6697542071342468,1.7620534896850586
1,0.966865599155426,0.11225085705518723,1e-05,0.665122926235199,1.8272082805633545
2,0.9677563309669495,0.10806881636381149,1e-05,0.6515853404998779,1.9288067817687988
3,0.9665092825889587,0.10736208409070969,1e-05,0.6669041514396667,1.8288636207580566
4,0.9658858180046082,0.1075444370508194,1e-05,0.6626291275024414,1.8850687742233276
5,0.9674000144004822,0.10487057268619537,1e-05,0.6572853326797485,1.9301717281341553
6,0.9663311839103699,0.10637633502483368,1e-05,0.6629853844642639,1.8789726495742798
7,0.9663311839103699,0.10565456748008728,1e-05,0.6690416932106018,1.825702428817749
8,0.966865599155426,0.10330516844987869,1e-05,0.6669041514396667,1.8851804733276367
9,0.9677563309669495,0.10607442259788513,1e-05,0.6619166135787964,1.9263566732406616
10,0.9687361121177673,0.10452326387166977,1e-05,0.6512290835380554,2.0172414779663086
11,0.9683797955513,0.10005833208560944,1e-05,0.6679729223251343,1.8674864768981934
12,0.9682016372680664,0.09992381930351257,1e-05,0.6487352848052979,2.0980019569396973
13,0.966598391532898,0.10377787798643112,1e-05,0.6533665657043457,2.0365850925445557
14,0.9671328067779541,0.10231968015432358,1e-05,0.6569291353225708,2.028054714202881
15,0.9701611995697021,0.09967151284217834,1e-05,0.6669041514396667,1.9209568500518799
16,0.969626784324646,0.1003304049372673,1e-05,0.6708229184150696,1.8729653358459473
17,0.9694486260414124,0.09769649058580399,1e-05,0.6547915935516357,2.0274548530578613
18,0.9706956148147583,0.09450273215770721,1e-05,0.6647666692733765,1.950405478477478
19,0.9692705273628235,0.09733083099126816,1e-05,0.6579978466033936,2.0088653564453125
20,0.9690923690795898,0.09600282460451126,1e-05,0.6654791831970215,1.9415944814682007
21,0.9697158932685852,0.09502043575048447,1e-05,0.6622728705406189,1.986392617225647
22,0.9690923690795898,0.09475690126419067,1e-05,0.6654791831970215,1.9618462324142456
23,0.9693595767021179,0.09746004641056061,1e-05,0.6583541035652161,2.0088818073272705
24,0.972387969493866,0.092690110206604,1e-05,0.6533665657043457,2.038325309753418
25,0.9708737730979919,0.09152261912822723,1e-05,0.6693979501724243,1.9902812242507935
26,0.9724770784378052,0.09108912199735641,1e-05,0.6690416932106018,2.0453312397003174
27,0.9701611995697021,0.09500698745250702,1e-05,0.6604916453361511,2.1506903171539307
28,0.9706956148147583,0.091280996799469,1e-05,0.6537228226661682,2.2214317321777344
29,0.972387969493866,0.08901499211788177,1e-05,0.6672604084014893,2.0090601444244385
30,0.9722989201545715,0.0887027308344841,1e-05,0.6579978466033936,2.0422298908233643
31,0.97114098072052,0.09219785779714584,1e-05,0.6530103087425232,2.1834938526153564
32,0.9739022254943848,0.08724640309810638,1e-05,0.6519415974617004,2.1183018684387207
33,0.9729224443435669,0.08868054300546646,1e-05,0.6669041514396667,2.044473648071289
34,0.9708737730979919,0.08889519423246384,1e-05,0.6473103165626526,2.2319235801696777
35,0.972655177116394,0.08803709596395493,1e-05,0.6572853326797485,2.1288647651672363
36,0.9737240672111511,0.08545288443565369,1e-05,0.6398289799690247,2.357372283935547
37,0.9736349582672119,0.08469934016466141,1e-05,0.6579978466033936,2.176281690597534
38,0.9716753959655762,0.08865015208721161,1e-05,0.6483790278434753,2.189244508743286
39,0.973189651966095,0.08714647591114044,1e-05,0.6701104640960693,2.121351480484009
40,0.9740803241729736,0.08709611743688583,1e-05,0.6629853844642639,2.1065142154693604
41,0.9739022254943848,0.08570119738578796,1e-05,0.6679729223251343,2.0546061992645264
42,0.9724770784378052,0.08787353336811066,1e-05,0.633416473865509,2.484025239944458
43,0.9742584824562073,0.08215894550085068,1e-05,0.6462415456771851,2.354036569595337
44,0.9755054712295532,0.0830405205488205,1e-05,0.6540790796279907,2.2793822288513184
45,0.9733677506446838,0.08741191774606705,1e-05,0.6195226311683655,2.3462162017822266
46,0.9733677506446838,0.0847175121307373,1e-05,0.665835440158844,2.149953603744507
47,0.974703848361969,0.08019504696130753,1e-05,0.6615603566169739,2.2374112606048584
48,0.9765743017196655,0.07575052976608276,1e-05,0.652297854423523,2.268948793411255
49,0.9740803241729736,0.082825668156147,1e-05,0.6669041514396667,2.118539333343506
